start month,start day,start year,start time,ampm,label
12,13,1974,4,06,AM,Capricorn
1,6,1975,1,39,AM,Aquarius
1,30,1975,1,05,AM,Pisces
2,23,1975,4,53,AM,Aries
3,19,1975,4,42,PM,Taurus
4,13,1975,5,26,PM,Gemini
5,9,1975,3,11,PM,Cancer
6,6,1975,5,54,AM,Leo
7,9,1975,6,06,AM,Virgo
9,2,1975,10,34,AM,Leo
10,3,1975,12,19,AM,Virgo
11,9,1975,8,52,AM,Libra
12,6,1975,7,29,PM,Scorpio
1,1,1976,7,14,AM,Sagittarius
1,26,1976,1,09,AM,Capricorn
2,19,1976,11,50,AM,Aquarius
3,14,1976,7,59,PM,Pisces
4,8,1976,3,56,AM,Aries
5,2,1976,12,49,PM,Taurus
5,26,1976,10,43,PM,Gemini
6,20,1976,8,56,AM,Cancer
7,14,1976,6,36,PM,Leo
8,8,1976,3,36,AM,Virgo
9,1,1976,12,44,PM,Libra
9,25,1976,11,17,PM,Scorpio
10,20,1976,12,22,PM,Sagittarius
11,14,1976,5,42,AM,Capricorn
12,9,1976,7,53,AM,Aquarius
1,4,1977,8,01,AM,Pisces
2,2,1977,12,54,AM,Aries
6,6,1977,1,10,AM,Taurus
7,6,1977,10,09,AM,Gemini
8,2,1977,2,19,PM,Cancer
8,28,1977,10,09,AM,Leo
9,22,1977,10,05,AM,Virgo
10,16,1977,8,37,PM,Libra
11,9,1977,10,52,PM,Scorpio
12,3,1977,8,49,PM,Sagittarius
12,27,1977,5,09,PM,Capricorn
1,20,1978,1,29,PM,Aquarius
2,13,1978,11,07,AM,Pisces
3,9,1978,11,29,AM,Aries
4,2,1978,4,14,PM,Taurus
4,27,1978,2,53,AM,Gemini
5,21,1978,9,03,PM,Cancer
6,16,1978,1,19,AM,Leo
7,11,1978,9,14,PM,Virgo
8,7,1978,10,08,PM,Libra
9,7,1978,12,07,AM,Scorpio
1,7,1979,1,38,AM,Sagittarius
2,5,1979,4,16,AM,Capricorn
3,3,1979,12,18,PM,Aquarius
3,28,1979,10,18,PM,Pisces
4,22,1979,11,02,PM,Aries
5,17,1979,7,29,PM,Taurus
6,11,1979,1,13,PM,Gemini
7,6,1979,4,02,AM,Cancer
7,30,1979,3,07,PM,Leo
