start month,start day,start year,start time,ampm,label
10,20,1995,4,02,PM,Sagittarius
11,30,1995,8,57,AM,Capricorn
1,8,1996,6,02,AM,Aquarius
2,15,1996,6,50,AM,Pisces
3,24,1996,10,12,AM,Aries
5,2,1996,1,16,PM,Taurus
6,12,1996,9,42,AM,Gemini
7,25,1996,1,32,PM,Cancer
9,9,1996,3,02,PM,Leo
10,30,1996,2,13,AM,Virgo
1,3,1997,3,10,AM,Libra
3,8,1997,2,49,PM,Virgo
6,19,1997,3,30,AM,Libra
8,14,1997,3,42,AM,Scorpio
9,28,1997,5,22,PM,Sagittarius
11,9,1997,12,33,AM,Capricorn
12,18,1997,1,37,AM,Aquarius
1,25,1998,4,26,AM,Pisces
3,4,1998,11,18,AM,Aries
4,12,1998,8,04,PM,Taurus
5,23,1998,10,42,PM,Gemini
7,6,1998,4,00,AM,Cancer
8,20,1998,2,16,PM,Leo
10,7,1998,7,28,AM,Virgo
11,27,1998,5,10,AM,Libra
1,26,1999,6,59,AM,Scorpio
5,5,1999,4,32,PM,Libra
7,4,1999,10,59,PM,Scorpio
9,2,1999,2,29,PM,Sagittarius
10,16,1999,8,35,PM,Capricorn
11,26,1999,1,56,AM,Aquarius
1,3,2000,10,01,PM,Pisces
2,11,2000,8,04,PM,Aries
3,22,2000,8,25,PM,Taurus
5,3,2000,2,18,PM,Gemini
6,16,2000,7,29,AM,Cancer
7,31,2000,8,21,PM,Leo
9,16,2000,7,19,PM,Virgo
11,3,2000,9,00,PM,Libra
12,23,2000,9,37,AM,Scorpio
2,14,2001,3,06,PM,Sagittarius
9,8,2001,12,51,PM,Capricorn
10,27,2001,12,19,PM,Aquarius
12,8,2001,4,52,PM,Pisces
1,18,2002,5,53,PM,Aries
3,1,2002,10,05,AM,Taurus
4,13,2002,12,36,PM,Gemini
5,28,2002,6,43,AM,Cancer
7,13,2002,10,23,AM,Leo
8,29,2002,9,38,AM,Virgo
10,15,2002,12,38,PM,Libra
12,1,2002,9,26,AM,Scorpio
1,16,2003,11,22,PM,Sagittarius
3,4,2003,4,17,PM,Capricorn
4,21,2003,6,48,PM,Aquarius
6,16,2003,9,25,PM,Pisces
12,16,2003,8,24,AM,Aries
2,3,2004,5,04,AM,Taurus
3,21,2004,2,39,AM,Gemini
5,7,2004,3,45,AM,Cancer
6,23,2004,3,50,PM,Leo
8,10,2004,5,14,AM,Virgo
9,26,2004,4,15,AM,Libra
11,11,2004,12,10,AM,Scorpio
12,25,2004,11,04,AM,Sagittarius
2,6,2005,1,31,PM,Capricorn
3,20,2005,1,02,PM,Aquarius
4,30,2005,9,58,PM,Pisces
6,11,2005,9,30,PM,Aries
7,28,2005,12,12,AM,Taurus
2,17,2006,5,44,PM,Gemini
4,13,2006,7,59,PM,Cancer
6,3,2006,1,43,PM,Leo
7,22,2006,1,53,PM,Virgo
9,7,2006,11,18,PM,Libra
10,23,2006,11,38,AM,Scorpio
12,5,2006,11,58,PM,Sagittarius
1,16,2007,3,54,PM,Capricorn
2,25,2007,8,32,PM,Aquarius
4,6,2007,3,49,AM,Pisces
5,15,2007,9,06,AM,Aries
6,24,2007,4,27,PM,Taurus
8,7,2007,1,01,AM,Gemini
9,28,2007,6,54,PM,Cancer
12,31,2007,11,00,AM,Gemini
3,4,2008,5,01,AM,Cancer
5,9,2008,3,20,PM,Leo
7,1,2008,11,21,AM,Virgo
8,19,2008,5,03,AM,Libra
10,3,2008,11,34,PM,Scorpio
11,16,2008,3,26,AM,Sagittarius
12,27,2008,2,30,AM,Capricorn
2,4,2009,10,55,AM,Aquarius
3,14,2009,10,20,PM,Pisces
4,22,2009,8,44,AM,Aries
5,31,2009,4,18,PM,Taurus
7,11,2009,9,56,PM,Gemini
8,25,2009,12,15,PM,Cancer
10,16,2009,10,32,AM,Leo
6,7,2010,1,11,AM,Virgo
7,29,2010,6,46,PM,Libra
9,14,2010,5,37,PM,Scorpio
10,28,2010,1,47,AM,Sagittarius
12,7,2010,6,49,PM,Capricorn
1,15,2011,5,41,PM,Aquarius
2,22,2011,8,06,PM,Pisces
4,2,2011,12,51,AM,Aries
5,11,2011,3,03,AM,Taurus
6,20,2011,10,50,PM,Gemini
8,3,2011,5,22,AM,Cancer
9,18,2011,9,51,PM,Leo
11,10,2011,11,15,PM,Virgo
7,3,2012,8,32,AM,Libra
8,23,2012,11,24,AM,Scorpio
10,6,2012,11,21,PM,Sagittarius
11,16,2012,9,36,PM,Capricorn
12,25,2012,7,49,PM,Aquarius
2,1,2013,8,54,PM,Pisces
3,12,2013,2,26,AM,Aries
4,20,2013,7,48,AM,Taurus
5,31,2013,6,39,AM,Gemini
7,13,2013,9,22,AM,Cancer
8,27,2013,10,05,PM,Leo
10,15,2013,7,05,AM,Virgo
12,7,2013,3,41,PM,Libra
7,25,2014,10,25,PM,Scorpio
9,13,2014,5,57,PM,Sagittarius
10,26,2014,6,43,AM,Capricorn
12,4,2014,6,57,PM,Aquarius
1,12,2015,5,20,AM,Pisces
2,19,2015,7,11,PM,Aries
3,31,2015,12,26,PM,Taurus
5,11,2015,10,40,PM,Gemini
Jun,24,2015,9,33,AM,Cancer
8,8,2015,7,32,PM,Leo
9,24,2015,10,18,PM,Virgo
11,12,2015,4,41,PM,Libra
1,3,2016,9,32,AM,Scorpio
3,5,2016,9,29,PM,Sagittarius
5,27,2016,9,51,AM,Scorpio
8,2,2016,1,49,PM,Sagittarius
9,27,2016,4,07,AM,Capricorn
11,9,2016,12,51,AM,Aquarius
12,19,2016,4,23,AM,Pisces
1,28,2017,12,39,AM,Aries
3,9,2017,7,34,PM,Taurus
4,21,2017,6,32,AM,Gemini
Jun,4,2017,12,16,PM,Cancer
Jul,20,2017,8,19,AM,Leo
9,5,2017,5,35,AM,Virgo
10,22,2017,2,29,PM,Libra
12,9,2017,3,59,AM,Scorpio
1,26,2018,7,56,AM,Sagittarius
3,17,2018,12,40,PM,Capricorn
5,16,2018,12,55,AM,Aquarius
8,12,2018,10,14,PM,Capricorn
9,10,2018,8,56,PM,Aquarius
11,15,2018,5,21,PM,Pisces
12,31,2018,9,20,PM,Aries
2,14,2019,5,51,AM,Taurus
3,31,2019,2,12,AM,Gemini
5,15,2019,11,09,PM,Cancer
Jul,1,2019,7,19,PM,Leo
8,18,2019,1,18,AM,Virgo
10,4,2019,12,22,AM,Libra
11,19,2019,2,40,AM,Scorpio
1,3,2020,4,37,AM,Sagittarius
2,16,2020,6,33,AM,Capricorn
3,30,2020,3,43,PM,Aquarius
5,13,2020,12,17,AM,Pisces
Jun,27,2020,9,45,PM,Aries
1,6,2021,5,27,PM,Taurus
3,3,2021,10,29,PM,Gemini
4,23,2021,7,49,AM,Cancer
